Ward Code,Ward Name ,Year,Total number of pupils,Pupils (free school meals),Free School Meals
E05010894,Clifton Down,2021,370,24,6.5
E05010902,Hengrove & Whitchurch Park,2021,2671,739,27.7
E05010907,Lawrence Hill,2021,3383,1572,46.5
E05010889,Bishopsworth,2022,1805,367,20.3
E05010894,Clifton Down,2022,373,27,7.2
E05010914,Southville,2022,1305,170,13
E05010886,Avonmouth & Lawrence Weston,2016,,782,23.441247
E05010889,Bishopsworth,2016,,228,13.77643505
E05010905,Hotwells & Harbourside,2016,,29,15.34391534
E05010912,St George West,2016,,130,18.92285298
E05010913,Southmead,2016,,519,23.42057762
E05010897,Eastville,2017,1948,349,17.91581109
E05010898,Filwood,2017,3133,980,31.2799234
E05010900,Hartcliffe & Withywood,2017,3929,1544,39.29753118
E05010902,Hengrove & Whitchurch Park,2017,2327,386,16.58788139
E05010911,St George Troopers Hill,2017,328,46,14.02439024
E05010891,Brislington West,2018,1356,172,12.68436578
E05010897,Eastville,2018,1980,341,17.22222222
E05010899,Frome Vale,2019,1348,290,21.51335312
E05010914,Southville,2019,1288,98,7.608695652
E05010886,Avonmouth & Lawrence Weston,2020,3674,1022,27.81709309
E05010900,Hartcliffe & Withywood,2020,4132,1836,44.43368829
E05010906,Knowle,2020,2188,459,20.97806216
E05010908,Lockleaze,2020,2162,586,27.10453284
E05010917,Westbury-on-Trym & Henleaze,2020,2800,82,2.928571429
E05010885,Ashley,2021,2287,575,25.1
E05010892,Central,2021,782,303,38.7
E05010898,Filwood,2021,3093,1427,46.1
E05010901,Henbury & Brentry,2021,2020,621,30.7
E05010906,Knowle,2021,2169,508,23.4
E05010885,Ashley,2022,2352,627,26.7
E05010888,Bishopston & Ashley Down,2022,1680,98,5.8
E05010891,Brislington West,2022,1410,312,22.1
E05010893,Clifton,2022,482,65,13.5
E05010899,Frome Vale,2022,1514,427,28.2
E05010900,Hartcliffe & Withywood,2022,4154,2195,52.8
E05010904,Horfield,2022,1606,396,24.7
E05010906,Knowle,2022,2126,537,25.3
E05010918,Windmill Hill,2022,1704,342,20.1
,Bristol,2022,60206,16609,27.58695147
