,Region,LAD code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Scotland,S12000047,Fife,9134.0,9478.0,9813.0,10453.0,10803.0,11337.0,11687.0,12224.0,12535.0,12601.0,13610.0,14305.0,14498.0,14786.0,15025.0,15487.0,16097.0,16398.0,17103.0,17357.0,17690.0,18093.0,18518.0
40,Scotland,S12000010,East Lothian,11031.0,11313.0,11802.0,12431.0,12589.0,12880.0,13805.0,14859.0,15550.0,15949.0,16702.0,17239.0,17144.0,17955.0,18353.0,18689.0,19527.0,20161.0,20798.0,20722.0,20932.0,21511.0,22494.0
41,Scotland,S12000019,Midlothian,9020.0,9234.0,9828.0,10291.0,10538.0,10911.0,11943.0,12780.0,13421.0,13987.0,14544.0,15275.0,15703.0,16370.0,16739.0,17089.0,18106.0,18450.0,18876.0,18969.0,18970.0,19722.0,21094.0
42,Scotland,S12000036,City of Edinburgh,12180.0,12592.0,13230.0,14053.0,14685.0,15304.0,15671.0,16198.0,16795.0,17641.0,18075.0,18458.0,18519.0,18701.0,19354.0,20096.0,20326.0,20605.0,21357.0,21684.0,22058.0,22933.0,23580.0
43,Scotland,S12000014,Falkirk,8796.0,8978.0,9621.0,10060.0,10642.0,11061.0,11535.0,12020.0,12480.0,13144.0,13928.0,14463.0,14274.0,14218.0,14788.0,15443.0,15819.0,15894.0,16352.0,16803.0,17400.0,18304.0,18793.0
44,Scotland,S12000048,Perth and Kinross,11154.0,11379.0,11410.0,12135.0,12832.0,12859.0,13397.0,14591.0,15014.0,16061.0,16607.0,16691.0,16712.0,16880.0,17821.0,18196.0,18689.0,18863.0,19487.0,19603.0,19922.0,20709.0,21504.0
45,Scotland,S12000030,Stirling,11591.0,11785.0,11745.0,12401.0,13107.0,13032.0,13613.0,15011.0,15328.0,16266.0,16989.0,17407.0,17402.0,17530.0,18425.0,18897.0,19251.0,19510.0,19950.0,20052.0,20315.0,20845.0,21345.0
46,Scotland,S12000040,West Lothian,8491.0,8811.0,9477.0,10492.0,11033.0,11592.0,12078.0,12395.0,12592.0,13259.0,14527.0,14504.0,14201.0,14576.0,14851.0,15288.0,15807.0,16331.0,16816.0,17158.0,17621.0,18242.0,18694.0
47,Scotland,S12000039,West Dunbartonshire,7217.0,7484.0,8625.0,9222.0,9573.0,9940.0,10270.0,10555.0,10907.0,11535.0,11822.0,12490.0,13085.0,13585.0,13854.0,14407.0,14673.0,14776.0,15426.0,15613.0,16393.0,17146.0,17937.0
48,Scotland,S12000045,East Dunbartonshire,11309.0,11609.0,12804.0,13946.0,14261.0,14920.0,15100.0,15635.0,16474.0,17183.0,17946.0,18815.0,18673.0,18909.0,19352.0,19784.0,20112.0,20409.0,21473.0,21858.0,22469.0,23400.0,24004.0
49,Scotland,S12000049,Glasgow City,9050.0,9229.0,9718.0,10432.0,10826.0,11305.0,11721.0,12028.0,12244.0,12782.0,13557.0,13811.0,13977.0,13956.0,14098.0,14484.0,14689.0,15113.0,15542.0,15781.0,15865.0,16150.0,16345.0
